title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,rating_norm,seasons_norm,votes_norm,success_score,is_successful,title_has_high_animal,title_has_low_animal,title_has_hero_keyword,title_word_count,title_has_character
Mighty Mouse: The New Adventures,1987,1988,2,19,United States,Traditional,Golden Age (85-96),1,7.1,795.0,30.0,"Action,Adventure,Animation",0.721518987341772,0.03125,0.0011342116868480446,0.2998286478584208,0,0,0,0,5,1
Mika's Diary,2015,2015,1,52,Brazil,Flash,Streaming Era (2010+),0,7.9,52.0,,"Animation,Family",0.8227848101265822,0.0,6.341208922657429e-05,0.32912977707293956,1,0,0,0,2,1
Mike the Knight,2011,2017,3,104,Coproduction,CGI,Streaming Era (2010+),6,4.7,328.0,,"Animation,Family",0.4177215189873418,0.0625,0.00046117883073872203,0.1890789023026214,0,0,0,0,3,1
Mike Tyson Mysteries,2014,2020,4,70,United States,Traditional,Streaming Era (2010+),6,8.2,6239.0,12.0,"Adventure,Animation,Comedy",0.8607594936708859,0.09375,0.008980016544790553,0.37936130160455206,1,0,0,0,3,1
"Mike, Lu & Og",1999,2001,2,26,Coproduction,Traditional,Modern (97-09),2,6.2,1302.0,30.0,"Adventure,Animation,Comedy",0.6075949367088607,0.03125,0.0018648918967997074,0.25444169765774416,0,0,0,0,4,1
Miles from Tomorrowland,2015,2018,3,75,United States,CGI,Streaming Era (2010+),3,6.4,744.0,30.0,"Adventure,Animation,Family",0.6329113924050632,0.0625,0.0010607113106990609,0.2753047347897,0,0,0,0,3,1
Mighty Max,1993,1994,2,40,United States,Traditional,Golden Age (85-96),1,7.8,2206.0,30.0,"Action,Adventure,Animation",0.8101265822784809,0.03125,0.0031677220936365967,0.3357800634348015,1,0,0,0,2,1
Mimi and Mr. Bobo,1999,2003,2,33,Spain,Traditional,Modern (97-09),4,6.7,23.0,30.0,"Animation,Comedy",0.670886075949367,0.03125,2.1617757690877596e-05,0.2792973348191695,0,0,0,0,4,1
Mini Beat Power Rockers,2017,,4,200,Argentina,CGI,Streaming Era (2010+),6,6.9,112.0,5.0,"Animation,Family,Music",0.6962025316455696,0.09375,0.00014988311999008467,0.3113309834382253,0,0,0,1,4,1
"Mira, Royal Detective",2020,2022,2,54,Coproduction,CGI,Streaming Era (2010+),2,7.4,435.0,24.0,"Adventure,Animation,Family",0.7594936708860759,0.03125,0.0006153855022669822,0.31488881472999714,0,0,0,0,3,1
Miraculous: Tales of Ladybug & Cat Noir,2015,,4,104,France,CGI,Streaming Era (2010+),8,7.5,19691.0,20.0,"Action,Adventure,Animation",0.7721518987341771,0.09375,0.02836682164196958,0.3487649649041633,1,0,0,0,7,1
Mighty Express,2020,,7,38,United States,CGI,Streaming Era (2010+),3,3.8,184.0,,"Adventure,Animation,Comedy",0.30379746835443033,0.1875,0.0002536483569062971,0.1872073994309987,0,0,0,0,2,1
Mighty Ducks,1996,1997,1,26,United States,Traditional,Golden Age (85-96),1,6.4,2488.0,30.0,"Action,Adventure,Animation",0.6329113924050632,0.0,0.0035741359382250957,0.25405809094658155,0,0,0,0,2,1
Miffy's Adventures Big and Small,2015,2017,3,78,Coproduction,CGI,Streaming Era (2010+),2,8.0,89.0,7.0,"Animation,Family",0.8354430379746834,0.0625,0.00011673589153073902,0.3560813991627561,1,0,0,0,5,1
Men in Black: The Series,1997,2001,4,53,United States,Traditional,Modern (97-09),4,6.8,4769.0,25.0,"Action,Animation,Comedy",0.6835443037974682,0.09375,0.006861476291084549,0.3079455905917584,0,0,0,0,5,1
Merlin the Magical Puppy,2001,2001,2,26,United Kingdom,CGI,Modern (97-09),0,6.7,26.0,10,"Animation,Family",0.670886075949367,0.03125,2.5941309229053118e-05,0.27929841570705405,0,0,0,0,4,1
